title,text,img,published,order
Dzień Dziecka w Dolince,"Dzień Dziecka w Dolince Olkusz zostaje przeniesiony na 2 czerwca ze względu na prognozy pogody. Zapraszamy mieszkańców Osiedla Młodych i całego Olkusza w godzinach 17:00-20:00 na wspólną zabawę, atrakcje dla dzieci i rodzinne wydarzenie pełne pozytywnej energii.",img/news/dziecko.jpg,TRUE,1
Zakupiliśmy windery,"W tym roku Dolinka Olkusz zorganizowała lub współorganizowała już 5 wydarzeń dla mieszkańców. Aby kolejne imprezy na Osiedlu Młodych w Olkuszu miały jeszcze lepszą oprawę, zakupiliśmy nowe windery, które będą towarzyszyć naszym festynom, wydarzeniom lokalnym i akcjom społecznym.",img/news/zakup.jpg,TRUE,2
